Prss8	serine protease 8 (prostasin)	MGI:1923810	Mus musculus/domesticus	placenta
Prss8	serine protease 8 (prostasin)	MGI:1923810	Mus musculus/domesticus	uterus
Psme1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	MGI:1096367	Mus musculus/domesticus	uterus
Ptgdr	prostaglandin D receptor	MGI:102966	Mus musculus/domesticus	placenta
Ptgdr	prostaglandin D receptor	MGI:102966	Mus musculus/domesticus	uterus
Ptprc	protein tyrosine phosphatase receptor type C	MGI:97810	Mus musculus/domesticus	placenta
Ptprc	protein tyrosine phosphatase receptor type C	MGI:97810	Mus musculus/domesticus	uterus
Racgap1	Rac GTPase-activating protein 1	MGI:1349423	Mus musculus/domesticus	placenta
Rpsa	ribosomal protein SA	MGI:105381	Mus musculus/domesticus	placenta
Rpsa	ribosomal protein SA	MGI:105381	Mus musculus/domesticus	uterus
Slc39a8	solute carrier family 39 (metal ion transporter), member 8	MGI:1914797	Mus musculus/domesticus	placenta
Slc39a8	solute carrier family 39 (metal ion transporter), member 8	MGI:1914797	Mus musculus/domesticus	uterus
Spint1	serine protease inhibitor, Kunitz type 1	MGI:1338033	Mus musculus/domesticus	uterus
Spint2	serine protease inhibitor, Kunitz type 2	MGI:1338031	Mus musculus/domesticus	uterus
Srgn	serglycin	MGI:97756	Mus musculus/domesticus	placenta
St14	suppression of tumorigenicity 14 (colon carcinoma)	MGI:1338881	Mus musculus/domesticus	placenta
St14	suppression of tumorigenicity 14 (colon carcinoma)	MGI:1338881	Mus musculus/domesticus	uterus
Stat1	signal transducer and activator of transcription 1	MGI:103063	Mus musculus/domesticus	placenta
Stat1	signal transducer and activator of transcription 1	MGI:103063	Mus musculus/domesticus	uterus
Tet2	tet methylcytosine dioxygenase 2	MGI:2443298	Mus musculus/domesticus	placenta
Tgfb2	transforming growth factor, beta 2	MGI:98726	Mus musculus/domesticus	placenta
Tgfb2	transforming growth factor, beta 2	MGI:98726	Mus musculus/domesticus	uterus
Tgfbr2	transforming growth factor, beta receptor II	MGI:98729	Mus musculus/domesticus	placenta
Tgfbr2	transforming growth factor, beta receptor II	MGI:98729	Mus musculus/domesticus	uterus
Tgm2	transglutaminase 2, C polypeptide	MGI:98731	Mus musculus/domesticus	uterus
Tgtp1	T cell specific GTPase 1	MGI:98734	Mus musculus/domesticus	uterus
Tmprss13	transmembrane protease, serine 13	MGI:2682935	Mus musculus/domesticus	uterus
Tmprss6	transmembrane serine protease 6	MGI:1919003	Mus musculus/domesticus	uterus
Tox4	TOX high mobility group box family member 4	MGI:1915389	Mus musculus/domesticus	uterus
Trpm6	transient receptor potential cation channel, subfamily M, member 6	MGI:2675603	Mus musculus/domesticus	uterus
Trpv6	transient receptor potential cation channel, subfamily V, member 6	MGI:1927259	Mus musculus/domesticus	placenta
Vcam1	vascular cell adhesion molecule 1	MGI:98926	Mus musculus/domesticus	uterus
Xrcc1	X-ray repair complementing defective repair in Chinese hamster cells 1	MGI:99137	Mus musculus/domesticus	placenta
Xrcc1	X-ray repair complementing defective repair in Chinese hamster cells 1	MGI:99137	Mus musculus/domesticus	uterus
Zfp395	zinc finger protein 395	MGI:2682318	Mus musculus/domesticus	uterus
