"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hist1h4i",9.90051931317373e-280,0.720420788943105,0.787,0.361,1.87208919692802e-275,"10","Hist1h4i"
"Pdgfa1",2.25683164406294e-279,0.548768045222872,0.629,0.18,4.26744295575862e-275,"10","Pdgfa"
"Set2",1.11675414932931e-278,0.598281084574459,1,0.977,2.1116704209668e-274,"10","Set"
"Odc13",2.06604135093389e-278,0.711006315896006,0.999,0.906,3.90667759048089e-274,"10","Odc1"
"Ly6e2",8.16408715339899e-278,0.46918564454293,0.685,0.212,1.54374723983622e-273,"10","Ly6e"
"Rps2-ps6",1.18573251096316e-277,0.591118282144139,0.812,0.379,2.24210160498024e-273,"10","Rps2-ps6"
"Adap1",1.39841284485588e-277,0.5433583867991,0.701,0.257,2.64425884833799e-273,"10","Adap1"
"Ywhaz",3.59354768860941e-277,0.641452999921268,0.984,0.913,6.79503932439153e-273,"10","Ywhaz"
"Arpc1a",9.092996359573e-277,0.623456976094122,0.984,0.928,1.71939468163166e-272,"10","Arpc1a"
"Nhp22",1.42595388006275e-276,0.638112842800583,1,0.964,2.69633619181066e-272,"10","Nhp2"
"Sfmbt2",1.25577674152516e-272,0.731884108618424,0.981,0.898,2.37454824054992e-268,"10","Sfmbt2"
"Gm17669",4.32258607512392e-269,0.259088523496738,0.37,0.06,8.17357800945183e-265,"10","Gm17669"
"Rpl27-ps3",2.62888095623521e-267,0.745214921199461,0.958,0.755,4.97095100014515e-263,"10","Rpl27-ps3"
"AU018091",5.4312749435033e-266,0.636302742681268,0.864,0.468,1.02699977906704e-261,"10","AU018091"
"Fos",6.81821801670231e-266,1.03909318664354,0.895,0.52,1.28925684477824e-261,"10","Fos"
"Ano6",3.46582392093013e-265,0.591752853101427,0.764,0.343,6.55352645208678e-261,"10","Ano6"
"Tomm201",5.2996710614991e-264,0.597173347798825,1,0.993,1.00211480101886e-259,"10","Tomm20"
"Itgav",2.0156450154601e-263,0.541736926335111,0.673,0.244,3.8113831597335e-259,"10","Itgav"
"Sema3f",5.24757607104151e-263,0.499701063342107,0.652,0.223,9.92264159273239e-259,"10","Sema3f"
"Gm9844",3.53909976553469e-262,0.473672778901058,0.712,0.258,6.69208374664955e-258,"10","Gm9844"
"Ftl1-ps1",1.07177811889154e-261,0.696627776637681,0.979,0.908,2.02662524501201e-257,"10","Ftl1-ps1"
"Cttn",1.81896939355831e-260,0.688806423033015,0.906,0.66,3.43948922627942e-256,"10","Cttn"
"Hmox1",3.9082012376048e-260,1.12670525978177,0.979,0.919,7.39001772018691e-256,"10","Hmox1"
"Hs3st12",8.42163468807685e-260,0.496245236898827,0.697,0.241,1.59244690316845e-255,"10","Hs3st1"
"Fkbp1a",2.24476230765935e-259,0.5467103622303,1,0.991,4.24462104755307e-255,"10","Fkbp1a"
"Mt11",6.7144930018343e-259,0.96676503279288,0.998,0.807,1.26964348171685e-254,"10","Mt1"
"Ywhag",1.32951687279782e-257,0.630456412024747,0.958,0.83,2.51398345477339e-253,"10","Ywhag"
"Dock92",1.88082831566636e-255,0.498676739652637,0.687,0.251,3.55645826209352e-251,"10","Dock9"
"Tead12",5.65651787193706e-255,0.416011737966287,0.596,0.172,1.06959096440458e-250,"10","Tead1"
"Kpna4",7.72781737736572e-253,0.634995259519804,0.873,0.578,1.46125298788608e-248,"10","Kpna4"
"Elovl5",2.8298987163752e-251,0.594265641286679,0.829,0.449,5.35105548279387e-247,"10","Elovl5"
"Amotl1",4.59445558284681e-251,0.444106980471829,0.647,0.208,8.68765606160504e-247,"10","Amotl1"
"Kctd12",5.33348459914307e-251,0.55722476275581,0.711,0.279,1.00850860285196e-246,"10","Kctd12"
"Efs",1.14846744307836e-250,0.559550800124917,0.794,0.395,2.17163708811687e-246,"10","Efs"
"Fkbp11",1.9631896039002e-250,0.608311278521518,0.832,0.393,3.71219522201489e-246,"10","Fkbp11"
"Atp2a2",1.38045789291919e-248,0.615775420966672,0.883,0.562,2.61030782972091e-244,"10","Atp2a2"
"Capza1",2.40494455148135e-248,0.593512278964491,0.936,0.749,4.54750965239608e-244,"10","Capza1"
"Naa50",1.46601533638745e-247,0.602653639169414,0.988,0.935,2.77208839957503e-243,"10","Naa50"
"Trim8",5.58308526028124e-247,0.556926661571331,0.851,0.483,1.05570559186658e-242,"10","Trim8"
"A4galt",9.35509682700776e-246,0.385072006987815,0.531,0.148,1.7689552590189e-241,"10","A4galt"
"Cib2",6.96959222657661e-245,0.3189361579574,0.449,0.1,1.31788019412337e-240,"10","Cib2"
"Uqcr10",4.93863723162181e-244,0.483651039032381,0.998,0.996,9.33846914127368e-240,"10","Uqcr10"
"Arhgap22",3.23211231076737e-242,0.495244825568571,0.698,0.29,6.11160116843002e-238,"10","Arhgap22"
"Ptp4a22",1.55498512796703e-240,0.614389864986389,0.973,0.895,2.94032137847285e-236,"10","Ptp4a2"
"Myo1c1",1.90505440101108e-240,0.609088585499821,0.883,0.575,3.60226736687185e-236,"10","Myo1c"
"AY036118",1.6571700103215e-239,0.57049919683634,0.942,0.499,3.13354277251693e-235,"10","AY036118"
"Itga7",3.33907005094696e-238,0.278502971896081,0.396,0.078,6.31384755933561e-234,"10","Itga7"
"Fasl",4.20716403602077e-238,0.262401231002124,0.38,0.071,7.95532647571167e-234,"10","Fasl"
"Tpm1",1.7933900979973e-237,0.636189887756539,0.999,0.879,3.3911213363031e-233,"10","Tpm1"
"Tmem541",8.23650505519654e-237,0.555695903876252,0.76,0.312,1.55744074088711e-232,"10","Tmem54"
"Nudt42",3.93230856734614e-236,0.595152897771403,0.821,0.442,7.43560226999481e-232,"10","Nudt4"
"Adgrl22",1.19174051841921e-234,0.530831853084801,0.757,0.357,2.25346214627888e-230,"10","Adgrl2"
"Map2k3",4.8808671337615e-229,0.594939634091805,0.913,0.673,9.22923166322963e-225,"10","Map2k3"
"Mtpn",1.49207053987203e-228,0.552640628394329,0.975,0.891,2.82135618384403e-224,"10","Mtpn"
"2200002D01Rik",1.52191239503699e-228,0.582105724558433,0.877,0.562,2.87778414777545e-224,"10","2200002D01Rik"
"Srm1",1.09271397028429e-227,0.620255771593794,0.981,0.761,2.06621284641055e-223,"10","Srm"
"Ryk",3.6385736319342e-227,0.579762957204381,0.83,0.505,6.88017888062437e-223,"10","Ryk"
"Dgkd",3.68052849419607e-227,0.47159033546078,0.673,0.279,6.95951132967535e-223,"10","Dgkd"
